timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1636807707558,0.26342773,0.29656982,-0.4295044,-9.59375,5.109375,-6.6875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807707598,0.32177734,0.22576904,-0.035949707,-13.21875,-24.09375,0.796875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807707645,0.09765625,-0.022521973,-0.29205322,-1.078125,-66.515625,-11.71875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807707676,0.35717773,-0.9224243,0.31292725,10.921875,-35.40625,-39.875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807707718,0.5683594,-2.0,-0.06109619,27.375,-44.78125,12.34375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807707765,0.22387695,-2.0,0.1408081,23.46875,-1.1875,-19.046875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807707799,0.06982422,-1.9199829,0.37908936,9.59375,-20.515625,0.375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807707838,-0.19384766,-1.6213989,0.21209717,42.078125,-7.3125,-26.4375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807707916,0.42089844,-0.41363525,-0.0012817383,-15.9375,8.421875,-19.390625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807707921,0.045166016,0.17132568,0.028259277,0.171875,-1.375,-1.203125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807707958,-0.10571289,0.11932373,-0.13946533,-14.65625,1.515625,-6.609375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807707988,-0.16503906,0.14154053,-0.08282471,8.28125,18.765625,-0.34375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708036,-0.061279297,-0.21661377,-0.47808838,50.484375,-18.109375,11.46875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708078,0.41210938,-2.0,0.18817139,-51.6875,-21.921875,20.796875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708108,0.11621094,-1.791565,0.0668334959999999,54.421875,15.390625,30.265625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708156,-0.026855469,-2.0,-0.24542236,-54.890625,-17.25,5.953125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708198,0.1459961,-2.0,0.14788818,16.171875,36.921875,30.234375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708228,0.4116210999999999,-0.5459595,-0.09625244,-68.671875,17.6875,23.78125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
